Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2025-01-01,1:52 AM,24 °F,20 °F,84 %,WNW,10 mph,0 mph,29.16 in,0.0 in,Fair
2025-01-01,2:52 AM,26 °F,21 °F,81 %,W,10 mph,0 mph,29.16 in,0.0 in,Cloudy
2025-01-01,3:52 AM,25 °F,21 °F,85 %,W,10 mph,0 mph,29.17 in,0.0 in,Partly Cloudy
2025-01-01,4:52 AM,26 °F,22 °F,84 %,W,17 mph,0 mph,29.17 in,0.0 in,Fair
2025-01-01,5:52 AM,27 °F,23 °F,85 %,WNW,16 mph,0 mph,29.18 in,0.0 in,Cloudy
2025-01-01,6:52 AM,26 °F,22 °F,84 %,W,16 mph,0 mph,29.19 in,0.0 in,Cloudy
2025-01-01,6:53 AM,26 °F,22 °F,84 %,W,16 mph,0 mph,29.19 in,0.0 in,Partly Cloudy
2025-01-01,7:52 AM,25 °F,20 °F,81 %,WNW,22 mph,30 mph,29.21 in,0.0 in,Partly Cloudy / Windy
2025-01-01,8:52 AM,22 °F,16 °F,78 %,NW,25 mph,32 mph,29.24 in,0.0 in,Fair / Windy
2025-01-01,9:52 AM,24 °F,18 °F,77 %,WNW,17 mph,0 mph,29.25 in,0.0 in,Mostly Cloudy
2025-01-01,10:31 AM,25 °F,18 °F,75 %,WNW,14 mph,0 mph,29.27 in,0.0 in,Cloudy
2025-01-01,10:52 AM,26 °F,19 °F,75 %,W,15 mph,0 mph,29.27 in,0.0 in,Cloudy
2025-01-01,11:52 AM,29 °F,21 °F,72 %,W,20 mph,25 mph,29.27 in,0.0 in,Cloudy
2025-01-01,12:38 PM,30 °F,19 °F,64 %,WNW,24 mph,33 mph,29.26 in,0.0 in,Mostly Cloudy / Windy
2025-01-01,12:52 PM,31 °F,20 °F,64 %,WNW,20 mph,29 mph,29.25 in,0.0 in,Partly Cloudy
2025-01-01,1:52 PM,31 °F,19 °F,61 %,WNW,23 mph,0 mph,29.24 in,0.0 in,Partly Cloudy / Windy
2025-01-01,2:52 PM,29 °F,19 °F,67 %,WNW,23 mph,33 mph,29.23 in,0.0 in,Fair / Windy
2025-01-01,3:52 PM,29 °F,20 °F,69 %,WNW,21 mph,31 mph,29.25 in,0.0 in,Mostly Cloudy / Windy
2025-01-01,4:19 PM,28 °F,19 °F,69 %,WNW,26 mph,0 mph,29.25 in,0.0 in,Mostly Cloudy / Windy
2025-01-01,4:26 PM,28 °F,19 °F,69 %,WNW,22 mph,32 mph,29.26 in,0.0 in,Mostly Cloudy / Windy
2025-01-01,4:52 PM,27 °F,18 °F,69 %,NW,22 mph,33 mph,29.27 in,0.0 in,Mostly Cloudy / Windy
2025-01-01,5:52 PM,26 °F,18 °F,71 %,NW,17 mph,23 mph,29.28 in,0.0 in,Cloudy
2025-01-01,6:52 PM,25 °F,19 °F,78 %,NW,8 mph,0 mph,29.27 in,0.0 in,Cloudy
2025-01-01,7:52 PM,23 °F,19 °F,85 %,W,6 mph,0 mph,29.28 in,0.0 in,Cloudy
2025-01-01,8:52 PM,23 °F,20 °F,88 %,SW,3 mph,0 mph,29.28 in,0.0 in,Mostly Cloudy
2025-01-01,9:52 PM,20 °F,18 °F,92 %,S,5 mph,0 mph,29.28 in,0.0 in,Mostly Cloudy
2025-01-01,10:12 PM,22 °F,19 °F,89 %,SSW,3 mph,0 mph,29.28 in,0.0 in,Cloudy
2025-01-01,10:52 PM,22 °F,19 °F,89 %,CALM,0 mph,0 mph,29.27 in,0.0 in,Cloudy
2025-01-01,11:52 PM,25 °F,22 °F,88 %,WSW,6 mph,0 mph,29.28 in,0.0 in,Cloudy
2025-01-01,12:52 AM,25 °F,23 °F,92 %,WSW,6 mph,0 mph,29.28 in,0.0 in,Cloudy
2025-01-02,1:35 AM,26 °F,23 °F,88 %,W,7 mph,0 mph,29.28 in,0.0 in,Cloudy
2025-01-02,1:52 AM,26 °F,23 °F,88 %,WNW,6 mph,0 mph,29.28 in,0.0 in,Cloudy
2025-01-02,2:39 AM,25 °F,23 °F,92 %,WNW,3 mph,0 mph,29.28 in,0.0 in,Partly Cloudy
2025-01-02,2:52 AM,24 °F,23 °F,96 %,NW,5 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy
2025-01-02,3:52 AM,25 °F,20 °F,81 %,N,5 mph,0 mph,29.30 in,0.0 in,Partly Cloudy
2025-01-02,4:52 AM,24 °F,17 °F,75 %,N,5 mph,0 mph,29.30 in,0.0 in,Fair
2025-01-02,5:52 AM,20 °F,17 °F,89 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Fair
2025-01-02,6:52 AM,22 °F,17 °F,82 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy
2025-01-02,7:52 AM,20 °F,17 °F,89 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Fair
2025-01-02,8:52 AM,23 °F,20 °F,88 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Cloudy
2025-01-02,9:52 AM,26 °F,21 °F,81 %,E,6 mph,0 mph,29.31 in,0.0 in,Mostly Cloudy
2025-01-02,10:52 AM,27 °F,18 °F,69 %,E,3 mph,0 mph,29.34 in,0.0 in,Light Snow
2025-01-02,11:02 AM,26 °F,19 °F,75 %,E,5 mph,0 mph,29.34 in,0.0 in,Light Snow
2025-01-02,11:24 AM,25 °F,20 °F,81 %,ESE,5 mph,0 mph,29.34 in,0.0 in,Light Snow
2025-01-02,11:35 AM,24 °F,20 °F,84 %,SE,3 mph,0 mph,29.34 in,0.0 in,Fog
2025-01-02,11:45 AM,24 °F,22 °F,91 %,E,3 mph,0 mph,29.34 in,0.0 in,Fog
2025-01-02,11:52 AM,25 °F,22 °F,88 %,ESE,3 mph,0 mph,29.34 in,0.0 in,Fog
2025-01-02,12:04 PM,24 °F,22 °F,91 %,ESE,5 mph,0 mph,29.33 in,0.0 in,Fog
2025-01-02,12:52 PM,25 °F,23 °F,92 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Fog
2025-01-02,1:09 PM,25 °F,23 °F,92 %,NE,5 mph,0 mph,29.30 in,0.0 in,Fog
2025-01-02,1:52 PM,25 °F,23 °F,92 %,N,8 mph,0 mph,29.29 in,0.0 in,Fog
2025-01-02,2:00 PM,25 °F,23 °F,92 %,N,6 mph,0 mph,29.29 in,0.0 in,Fog
2025-01-02,2:52 PM,25 °F,23 °F,92 %,N,6 mph,0 mph,29.29 in,0.0 in,Light Snow
2025-01-02,3:52 PM,25 °F,23 °F,92 %,N,5 mph,0 mph,29.29 in,0.0 in,Light Snow
2025-01-02,3:56 PM,26 °F,23 °F,88 %,NNW,6 mph,0 mph,29.29 in,0.0 in,Light Snow
2025-01-02,4:19 PM,25 °F,23 °F,92 %,NNW,8 mph,0 mph,29.30 in,0.0 in,Light Snow
2025-01-02,4:52 PM,25 °F,22 °F,88 %,NW,7 mph,0 mph,29.31 in,0.0 in,Cloudy
2025-01-02,5:52 PM,23 °F,22 °F,96 %,WNW,8 mph,0 mph,29.32 in,0.0 in,Cloudy
2025-01-02,6:52 PM,18 °F,17 °F,96 %,WNW,8 mph,0 mph,29.34 in,0.0 in,Fair
2025-01-02,7:52 PM,17 °F,16 °F,96 %,WNW,8 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy
2025-01-02,8:52 PM,13 °F,11 °F,92 %,WNW,9 mph,0 mph,29.35 in,0.0 in,Fair
2025-01-02,9:52 PM,12 °F,9 °F,88 %,WNW,9 mph,0 mph,29.35 in,0.0 in,Fair
2025-01-02,10:52 PM,16 °F,12 °F,84 %,W,14 mph,0 mph,29.37 in,0.0 in,Partly Cloudy
2025-01-02,11:52 PM,17 °F,13 °F,84 %,WNW,12 mph,0 mph,29.37 in,0.0 in,Partly Cloudy
2025-01-02,12:52 AM,19 °F,14 °F,81 %,NW,20 mph,0 mph,29.38 in,0.0 in,Mostly Cloudy
2025-01-03,1:52 AM,17 °F,11 °F,77 %,WNW,16 mph,0 mph,29.39 in,0.0 in,Fair
2025-01-03,2:52 AM,15 °F,10 °F,80 %,NW,16 mph,0 mph,29.40 in,0.0 in,Fair
2025-01-03,3:52 AM,13 °F,9 °F,84 %,NW,17 mph,0 mph,29.41 in,0.0 in,Fair
2025-01-03,4:52 AM,11 °F,7 °F,84 %,NW,14 mph,0 mph,29.41 in,0.0 in,Fair
2025-01-03,5:52 AM,9 °F,6 °F,88 %,NW,13 mph,0 mph,29.41 in,0.0 in,Fair
2025-01-03,6:52 AM,7 °F,4 °F,87 %,WNW,10 mph,0 mph,29.41 in,0.0 in,Fair
2025-01-03,7:52 AM,4 °F,2 °F,91 %,WNW,9 mph,0 mph,29.42 in,0.0 in,Fair
2025-01-03,8:52 AM,8 °F,5 °F,87 %,WNW,8 mph,0 mph,29.42 in,0.0 in,Fair
2025-01-03,9:52 AM,10 °F,7 °F,87 %,NW,12 mph,0 mph,29.44 in,0.0 in,Mostly Cloudy
2025-01-03,10:52 AM,13 °F,8 °F,81 %,WNW,14 mph,0 mph,29.47 in,0.0 in,Partly Cloudy
2025-01-03,11:52 AM,14 °F,8 °F,77 %,NW,14 mph,0 mph,29.48 in,0.0 in,Partly Cloudy
2025-01-03,12:52 PM,15 °F,10 °F,80 %,WNW,22 mph,0 mph,29.47 in,0.0 in,Cloudy / Windy
2025-01-03,1:52 PM,16 °F,10 °F,77 %,WNW,21 mph,0 mph,29.45 in,0.0 in,Cloudy / Windy
2025-01-03,1:59 PM,16 °F,10 °F,77 %,WNW,21 mph,0 mph,29.45 in,0.0 in,Fair / Windy
2025-01-03,2:52 PM,17 °F,11 °F,77 %,WNW,20 mph,0 mph,29.44 in,0.0 in,Fair
2025-01-03,3:52 PM,19 °F,11 °F,71 %,WNW,17 mph,0 mph,29.44 in,0.0 in,Fair
2025-01-03,4:52 PM,18 °F,11 °F,74 %,WNW,17 mph,0 mph,29.45 in,0.0 in,Fair
2025-01-03,5:52 PM,15 °F,9 °F,77 %,WNW,12 mph,0 mph,29.45 in,0.0 in,Fair
2025-01-03,6:52 PM,13 °F,8 °F,81 %,WNW,12 mph,0 mph,29.45 in,0.0 in,Fair
2025-01-03,7:52 PM,12 °F,7 °F,80 %,W,10 mph,0 mph,29.46 in,0.0 in,Fair
2025-01-03,8:52 PM,11 °F,6 °F,81 %,W,14 mph,0 mph,29.47 in,0.0 in,Fair
2025-01-03,9:52 PM,9 °F,5 °F,84 %,WNW,10 mph,0 mph,29.47 in,0.0 in,Fair
2025-01-03,10:52 PM,10 °F,5 °F,80 %,NW,13 mph,0 mph,29.47 in,0.0 in,Fair
2025-01-03,11:52 PM,8 °F,4 °F,83 %,NW,9 mph,0 mph,29.47 in,0.0 in,Fair
2025-01-03,12:52 AM,4 °F,1 °F,88 %,WNW,10 mph,0 mph,29.47 in,0.0 in,Fair
2025-01-04,1:52 AM,4 °F,1 °F,88 %,WNW,12 mph,0 mph,29.48 in,0.0 in,Fair
2025-01-04,2:52 AM,2 °F,0 °F,91 %,WNW,8 mph,0 mph,29.48 in,0.0 in,Fair
2025-01-04,3:52 AM,2 °F,-1 °F,88 %,WNW,8 mph,0 mph,29.48 in,0.0 in,Fair
2025-01-04,4:52 AM,4 °F,1 °F,88 %,NW,10 mph,0 mph,29.49 in,0.0 in,Fair
2025-01-04,5:52 AM,4 °F,0 °F,84 %,NW,9 mph,0 mph,29.49 in,0.0 in,Fair
2025-01-04,6:52 AM,3 °F,0 °F,87 %,NW,12 mph,0 mph,29.49 in,0.0 in,Fair
2025-01-04,7:52 AM,3 °F,0 °F,87 %,NNW,9 mph,0 mph,29.49 in,0.0 in,Fair
2025-01-04,8:52 AM,4 °F,0 °F,84 %,NNW,12 mph,0 mph,29.48 in,0.0 in,Fair
2025-01-04,9:52 AM,5 °F,1 °F,84 %,NNW,6 mph,0 mph,29.48 in,0.0 in,Fair
2025-01-04,10:52 AM,7 °F,3 °F,84 %,NW,9 mph,0 mph,29.51 in,0.0 in,Fair
2025-01-04,11:52 AM,11 °F,3 °F,70 %,WNW,6 mph,0 mph,29.50 in,0.0 in,Fair
2025-01-04,12:52 PM,11 °F,4 °F,73 %,W,8 mph,0 mph,29.48 in,0.0 in,Fair
2025-01-04,1:52 PM,12 °F,4 °F,70 %,W,9 mph,0 mph,29.45 in,0.0 in,Fair
2025-01-04,2:52 PM,13 °F,5 °F,71 %,WNW,8 mph,0 mph,29.43 in,0.0 in,Fair
2025-01-04,3:52 PM,14 °F,6 °F,71 %,WNW,9 mph,0 mph,29.41 in,0.0 in,Fair
2025-01-04,4:52 PM,15 °F,7 °F,70 %,WNW,7 mph,0 mph,29.41 in,0.0 in,Mostly Cloudy
2025-01-04,5:52 PM,16 °F,8 °F,71 %,NNW,6 mph,0 mph,29.39 in,0.0 in,Fair
2025-01-04,6:52 PM,16 °F,10 °F,77 %,CALM,0 mph,0 mph,29.39 in,0.0 in,Fair
2025-01-04,7:52 PM,16 °F,11 °F,81 %,W,6 mph,0 mph,29.40 in,0.0 in,Cloudy
2025-01-04,8:52 PM,18 °F,11 °F,74 %,N,6 mph,0 mph,29.38 in,0.0 in,Cloudy
2025-01-04,9:52 PM,18 °F,12 °F,78 %,SW,5 mph,0 mph,29.40 in,0.0 in,Cloudy
2025-01-04,10:52 PM,19 °F,9 °F,65 %,NNW,7 mph,0 mph,29.40 in,0.0 in,Cloudy
2025-01-04,11:52 PM,18 °F,6 °F,60 %,N,9 mph,0 mph,29.40 in,0.0 in,Partly Cloudy
2025-01-04,12:52 AM,18 °F,6 °F,60 %,N,13 mph,0 mph,29.38 in,0.0 in,Fair
2025-01-05,1:52 AM,17 °F,6 °F,62 %,N,10 mph,0 mph,29.37 in,0.0 in,Cloudy
2025-01-05,2:52 AM,16 °F,5 °F,62 %,N,14 mph,0 mph,29.38 in,0.0 in,Mostly Cloudy
2025-01-05,3:52 AM,16 °F,4 °F,59 %,N,15 mph,0 mph,29.36 in,0.0 in,Cloudy
2025-01-05,4:52 AM,15 °F,5 °F,64 %,N,10 mph,0 mph,29.36 in,0.0 in,Cloudy
2025-01-05,5:52 AM,14 °F,3 °F,62 %,NNE,15 mph,0 mph,29.34 in,0.0 in,Cloudy
2025-01-05,6:52 AM,14 °F,2 °F,59 %,N,10 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy
2025-01-05,7:52 AM,13 °F,1 °F,59 %,N,12 mph,0 mph,29.34 in,0.0 in,Cloudy
2025-01-05,8:52 AM,13 °F,2 °F,62 %,N,8 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy
2025-01-05,9:52 AM,13 °F,1 °F,59 %,N,9 mph,0 mph,29.34 in,0.0 in,Fair
2025-01-05,10:52 AM,14 °F,2 °F,59 %,N,13 mph,0 mph,29.34 in,0.0 in,Fair
2025-01-05,11:52 AM,14 °F,2 °F,59 %,N,12 mph,0 mph,29.33 in,0.0 in,Fair
2025-01-05,12:52 PM,15 °F,2 °F,56 %,N,13 mph,0 mph,29.28 in,0.0 in,Fair
2025-01-05,1:52 PM,16 °F,3 °F,57 %,NNE,16 mph,0 mph,29.23 in,0.0 in,Fair
2025-01-05,2:52 PM,18 °F,4 °F,54 %,N,10 mph,0 mph,29.18 in,0.0 in,Fair
2025-01-05,3:52 PM,19 °F,3 °F,50 %,NNE,16 mph,0 mph,29.18 in,0.0 in,Fair
2025-01-05,4:52 PM,19 °F,3 °F,50 %,N,14 mph,0 mph,29.18 in,0.0 in,Fair
2025-01-05,5:52 PM,18 °F,6 °F,60 %,N,10 mph,0 mph,29.20 in,0.0 in,Fair
2025-01-05,6:52 PM,18 °F,7 °F,62 %,N,13 mph,0 mph,29.24 in,0.0 in,Fair
2025-01-05,7:52 PM,17 °F,6 °F,62 %,N,21 mph,31 mph,29.23 in,0.0 in,Fair / Windy
2025-01-05,8:52 PM,16 °F,5 °F,62 %,NNE,18 mph,0 mph,29.26 in,0.0 in,Fair
2025-01-05,9:52 PM,15 °F,4 °F,61 %,N,14 mph,0 mph,29.26 in,0.0 in,Fair
2025-01-05,10:52 PM,15 °F,5 °F,64 %,N,16 mph,0 mph,29.25 in,0.0 in,Fair
2025-01-05,11:52 PM,15 °F,7 °F,70 %,NNE,16 mph,26 mph,29.25 in,0.0 in,Fair
2025-01-05,12:52 AM,15 °F,8 °F,74 %,N,13 mph,0 mph,29.25 in,0.0 in,Fair
2025-01-06,1:52 AM,16 °F,9 °F,74 %,N,13 mph,0 mph,29.25 in,0.0 in,Fair
2025-01-06,2:52 AM,15 °F,10 °F,80 %,N,13 mph,0 mph,29.24 in,0.0 in,Fair
2025-01-06,3:29 AM,15 °F,10 °F,80 %,N,14 mph,0 mph,29.26 in,0.0 in,Mostly Cloudy
2025-01-06,3:43 AM,15 °F,10 °F,80 %,N,13 mph,0 mph,29.26 in,0.0 in,Partly Cloudy
2025-01-06,3:52 AM,15 °F,9 °F,77 %,N,13 mph,0 mph,29.26 in,0.0 in,Fair
2025-01-06,4:23 AM,15 °F,10 °F,80 %,N,12 mph,0 mph,29.26 in,0.0 in,Mostly Cloudy
2025-01-06,4:45 AM,15 °F,10 °F,80 %,N,12 mph,0 mph,29.26 in,0.0 in,Partly Cloudy
2025-01-06,4:52 AM,14 °F,10 °F,84 %,N,12 mph,0 mph,29.26 in,0.0 in,Fair
2025-01-06,5:52 AM,15 °F,9 °F,77 %,N,13 mph,0 mph,29.27 in,0.0 in,Fair
2025-01-06,6:52 AM,14 °F,7 °F,74 %,N,13 mph,0 mph,29.28 in,0.0 in,Fair
2025-01-06,7:52 AM,12 °F,6 °F,77 %,NNW,12 mph,0 mph,29.30 in,0.0 in,Fair
2025-01-06,8:41 AM,11 °F,5 °F,77 %,NNW,12 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy
2025-01-06,8:52 AM,12 °F,6 °F,77 %,NNW,12 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy
2025-01-06,9:35 AM,14 °F,8 °F,77 %,NNW,15 mph,0 mph,29.34 in,0.0 in,Partly Cloudy
2025-01-06,9:52 AM,15 °F,9 °F,77 %,NNW,13 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy
2025-01-06,10:52 AM,17 °F,10 °F,74 %,NNW,15 mph,0 mph,29.36 in,0.0 in,Cloudy
2025-01-06,11:52 AM,19 °F,12 °F,74 %,NNW,12 mph,0 mph,29.37 in,0.0 in,Cloudy
