Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2025-04-01,12:52 AM,34 °F,25 °F,70 %,CALM,0 mph,0 mph,29.15 in,0.0 in,Fair
2025-04-01,1:52 AM,34 °F,24 °F,67 %,E,8 mph,0 mph,29.13 in,0.0 in,Fair
2025-04-01,2:52 AM,34 °F,25 °F,70 %,E,13 mph,0 mph,29.13 in,0.0 in,Fair
2025-04-01,3:52 AM,33 °F,26 °F,75 %,E,13 mph,0 mph,29.11 in,0.0 in,Fair
2025-04-01,4:52 AM,33 °F,27 °F,78 %,E,16 mph,0 mph,29.11 in,0.0 in,Fair
2025-04-01,5:52 AM,32 °F,27 °F,82 %,ESE,13 mph,0 mph,29.12 in,0.0 in,Fair
2025-04-01,6:52 AM,32 °F,28 °F,85 %,ESE,15 mph,0 mph,29.11 in,0.0 in,Fair
2025-04-01,7:52 AM,34 °F,29 °F,82 %,ESE,16 mph,0 mph,29.12 in,0.0 in,Fair
2025-04-01,8:52 AM,0 °F,0 °F,0 %,,0 mph,0 mph,29.12 in,0.0 in,N/A
2025-04-01,9:52 AM,37 °F,30 °F,76 %,ESE,21 mph,25 mph,29.10 in,0.0 in,Fair / Windy
2025-04-01,10:52 AM,40 °F,31 °F,70 %,ESE,21 mph,28 mph,29.08 in,0.0 in,Fair / Windy
2025-04-01,11:52 AM,43 °F,31 °F,62 %,ESE,20 mph,28 mph,29.06 in,0.0 in,Mostly Cloudy
2025-04-01,12:52 PM,44 °F,31 °F,60 %,SE,18 mph,28 mph,29.07 in,0.0 in,Cloudy
2025-04-01,1:52 PM,45 °F,31 °F,58 %,SE,22 mph,30 mph,29.03 in,0.0 in,Fair / Windy
2025-04-01,2:52 PM,45 °F,31 °F,58 %,ESE,22 mph,33 mph,28.98 in,0.0 in,Cloudy / Windy
2025-04-01,3:52 PM,46 °F,30 °F,54 %,E,26 mph,36 mph,28.91 in,0.0 in,Mostly Cloudy / Windy
2025-04-01,4:52 PM,46 °F,29 °F,51 %,ESE,24 mph,39 mph,28.88 in,0.0 in,Cloudy / Windy
2025-04-01,5:52 PM,45 °F,28 °F,52 %,ESE,31 mph,48 mph,28.80 in,0.0 in,Mostly Cloudy / Windy
2025-04-01,6:52 PM,44 °F,26 °F,49 %,E,26 mph,37 mph,28.82 in,0.0 in,Cloudy / Windy
2025-04-01,7:52 PM,42 °F,31 °F,65 %,ESE,16 mph,30 mph,28.84 in,0.0 in,Light Rain
2025-04-01,8:07 PM,42 °F,31 °F,65 %,ESE,18 mph,0 mph,28.84 in,0.0 in,Light Rain with Thunder
2025-04-01,8:27 PM,42 °F,32 °F,67 %,ESE,20 mph,29 mph,28.83 in,0.0 in,Cloudy
2025-04-01,8:52 PM,43 °F,32 °F,65 %,ESE,21 mph,30 mph,28.83 in,0.0 in,Cloudy / Windy
2025-04-01,9:52 PM,44 °F,33 °F,65 %,ESE,21 mph,30 mph,28.81 in,0.0 in,Cloudy / Windy
2025-04-01,10:52 PM,44 °F,35 °F,71 %,E,21 mph,30 mph,28.77 in,0.0 in,Cloudy / Windy
2025-04-01,11:52 PM,45 °F,36 °F,71 %,ESE,21 mph,30 mph,28.76 in,0.0 in,Cloudy / Windy
2025-04-02,12:52 AM,46 °F,37 °F,71 %,ESE,23 mph,37 mph,28.70 in,0.0 in,Cloudy / Windy
2025-04-02,1:52 AM,46 °F,37 °F,71 %,ESE,20 mph,31 mph,28.64 in,0.0 in,Mostly Cloudy
2025-04-02,2:52 AM,46 °F,39 °F,76 %,ESE,22 mph,35 mph,28.59 in,0.0 in,Light Rain / Windy
2025-04-02,3:26 AM,45 °F,40 °F,82 %,E,17 mph,25 mph,28.59 in,0.0 in,T-Storm
2025-04-02,3:52 AM,44 °F,42 °F,93 %,ESE,14 mph,0 mph,28.61 in,0.1 in,Heavy T-Storm
2025-04-02,4:00 AM,44 °F,42 °F,93 %,ESE,13 mph,0 mph,28.62 in,0.1 in,Heavy T-Storm
2025-04-02,4:09 AM,44 °F,42 °F,93 %,E,8 mph,0 mph,28.62 in,0.2 in,Heavy Rain
2025-04-02,4:18 AM,45 °F,42 °F,90 %,E,25 mph,33 mph,28.58 in,0.2 in,T-Storm / Windy
2025-04-02,4:25 AM,44 °F,42 °F,93 %,E,17 mph,33 mph,28.59 in,0.2 in,T-Storm
2025-04-02,4:32 AM,44 °F,42 °F,93 %,E,21 mph,26 mph,28.57 in,0.2 in,T-Storm / Windy
2025-04-02,4:49 AM,45 °F,43 °F,93 %,E,21 mph,29 mph,28.53 in,0.2 in,Rain / Windy
2025-04-02,4:52 AM,44 °F,42 °F,93 %,E,18 mph,29 mph,28.54 in,0.2 in,Rain
2025-04-02,5:01 AM,44 °F,42 °F,93 %,E,17 mph,24 mph,28.56 in,0.0 in,T-Storm
2025-04-02,5:12 AM,44 °F,42 °F,93 %,E,21 mph,29 mph,28.53 in,0.1 in,Heavy T-Storm / Windy
2025-04-02,5:26 AM,44 °F,43 °F,96 %,ESE,16 mph,25 mph,28.58 in,0.1 in,T-Storm
2025-04-02,5:33 AM,44 °F,43 °F,96 %,E,15 mph,25 mph,28.57 in,0.2 in,Heavy T-Storm
2025-04-02,5:41 AM,44 °F,43 °F,96 %,E,18 mph,25 mph,28.55 in,0.2 in,Heavy T-Storm
2025-04-02,5:48 AM,45 °F,43 °F,93 %,E,17 mph,0 mph,28.55 in,0.2 in,T-Storm
