Case Number,Classification,Date/Time Occurred,Date/Time Reported,Location,Disposition
CRM-2025-284,"Criminal Mischief, Simple Assault",Between 03/30/2025 14:05 and 03/30/2025 14:25,03/30/2025 14:29,General Hospital,Inactive
CRM-2025-283,Liquor Law Violations,03/30/2025 02:55,03/30/2025 02:55,Slater Hall,Closed - Referred to Office of Student Accountability
CRM-2025-282,Trespass,03/30/2025 02:40,03/30/2025 02:40,Kinnick Stadium,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-286,Liquor Law Violations,03/30/2025 02:13,03/30/2025 02:13,Currier Hall,Closed - Referred to Office of Student Accountability
CRM-2025-285,Burglary,Between 03/30/2025 01:00 and 03/30/2025 03:00,03/30/2025 13:55,Jacobson Athletic Building,Closed - Suspect Arrested
CSA-2025-192,Stalking,03/29/2025 23:45,03/29/2025 12:13,East Side Residential Hall,Closed - Referred to Office of Student Accountability
CRM-2025-281,"Liquor Law Violations, Public Intoxication",Between 03/29/2025 22:20 and 03/29/2025 23:09,03/29/2025 22:20,100 BLK S CLINTON ST,Closed - Suspect Arrested
CRM-2025-280,Liquor Law Violations,Between 03/29/2025 20:41 and 03/29/2025 20:57,03/29/2025 20:41,Hancher Footbridge West,Closed - Referred to Office of Student Accountability
CRM-2025-278,Liquor Law Violations,03/29/2025 02:28,03/29/2025 02:28,Burge Hall,Closed - Referred to Office of Student Accountability
CSA-2025-193,Trespass,03/28/2025 16:30,03/29/2025 16:46,Mayflower Hall,Closed - Referred to Office of Student Accountability
CRM-2025-277,Liquor Law Violations,03/28/2025 02:15,03/28/2025 02:15,10 BLK N MADISON ST,Closed - Referred to Office of Student Accountability
CRM-2025-276,Liquor Law Violations,03/28/2025 01:59,03/28/2025 01:59,10 BLK E WASHINGTON ST,Closed - Referred to Office of Student Accountability
CRM-2025-275,"Falsify Driver's License, Liquor Law Violations",03/28/2025 01:47,03/28/2025 01:47,Hillcrest Hall,Closed - Referred to Office of Student Accountability
CRM-2025-274,Liquor Law Violations,03/28/2025 01:33,03/28/2025 01:33,100 BLK S CLINTON ST,Closed - Referred to Office of Student Accountability
CRM-2025-273,Liquor Law Violations,03/28/2025 01:23,03/28/2025 01:23,Burge Hall,Closed - Referred to Office of Student Accountability
CRM-2025-272,Liquor Law Violations,03/28/2025 01:09,03/28/2025 01:09,Hillcrest Hall,Closed - Referred to Office of Student Accountability
CRM-2025-271,"Falsify Driver's License, Liquor Law Violations",03/28/2025 00:23,03/28/2025 00:23,Burge Hall,Closed - Referred to Office of Student Accountability
CRM-2025-270,Theft,Between 03/27/2025 16:30 and 03/27/2025 18:00,03/27/2025 18:16,Campus Recreation and Wellness Center,Unfounded
CSA-2025-191,Trespass,Between 03/27/2025 00:00 and 03/27/2025 23:59,03/28/2025 10:35,Burge Hall,Closed - Referred to Office of Student Accountability
CSA-2025-194,Simple Assault,03/26/2025 21:00,03/31/2025 11:34,Aspire Building B5 - 228 Hawkeye Court,Closed - Referred to Office of Student Accountability
CRM-2025-269,"Stalking, Violation of No Contact Order",03/26/2025 17:01,03/26/2025 17:01,Field House,Inactive
CRM-2025-266,"Aggravated Assault, Criminal Mischief, Simple Assault",Between 03/25/2025 07:00 and 03/25/2025 07:30,03/25/2025 07:33,General Hospital,Closed - Suspect Arrested
CRM-2025-263,Liquor Law Violations,03/24/2025 02:30,03/24/2025 02:30,Catlett Residence Hall,Closed - Referred to Office of Student Accountability
CRM-2025-262,"Liquor Law Violations x3, Falsify Driver's License",03/24/2025 01:32,03/24/2025 01:32,Rienow Hall,Closed - Referred to Office of Student Accountability
CRM-2025-268,Theft,Between 03/23/2025 23:00 and 03/24/2025 09:15,03/26/2025 17:16,"350 N Madison Street, bike rack",Active - UI Police
CRM-2025-261,Liquor Law Violations,03/23/2025 00:51,03/23/2025 00:51,Burge Hall,Closed - Referred to Office of Student Accountability
CRM-2025-260,Simple Assault,03/22/2025 12:15,03/22/2025 17:56,General Hospital,Inactive
CRM-2025-265,"Fraudulent Offense , Harassment",Between 03/22/2025 12:00 and 03/24/2025 10:30,03/24/2025 11:02,Slater Hall,Inactive
CRM-2025-258,Aggravated Assault,03/21/2025 09:45,03/21/2025 09:45,General Hospital,Inactive
CRM-2025-257,"Disorderly Conduct, Interference with Official Acts, Trespass",03/21/2025 04:20,03/21/2025 04:20,UI Health Care Medical Center Downtown,Closed - Suspect Arrested
CRM-2025-256,Trespass,03/21/2025 01:59,03/21/2025 01:59,General Hospital,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-255,Criminal Mischief,03/20/2025 23:30,03/21/2025 00:53,UI Health Care Medical Center Downtown,Closed - Suspect Arrested
CRM-2025-254,Aggravated Assault,03/20/2025 13:12,03/20/2025 13:12,General Hospital,Inactive
CRM-2025-253,Harassment,03/19/2025 11:50,03/19/2025 11:50,General Hospital,Inactive
CRM-2025-250,Indecent Exposure,03/18/2025 19:28,03/18/2025 19:28,General Hospital,Inactive
CRM-2025-251,"Disorderly Conduct, Simple Assault",03/18/2025 18:36,03/18/2025 18:36,General Hospital,Inactive
CRM-2025-249,"Drug Equipment Violation, Drug/Narcotic Violation",03/17/2025 21:47,03/17/2025 21:47,Burge Hall,Closed - Suspect Arrested
CRM-2025-248,Harassment,03/17/2025 16:01,03/17/2025 16:01,General Hospital,Inactive
CRM-2025-252,Aggravated Assault,03/17/2025 13:37,03/19/2025 13:37,General Hospital,Inactive
CSA-2025-177,Liquor Law Violations x2,03/17/2025 13:00,03/17/2025 13:55,Currier Hall,Closed - Referred to Office of Student Accountability
CRM-2025-247,Criminal Mischief x2,Between 03/16/2025 16:00 and 03/16/2025 18:35,03/16/2025 18:48,228 Hawkeye Court,Active - UI Police
LLEA-2025-1,"Aggravated Assault, Drug/Narcotic Violation",03/16/2025 01:51,03/16/2025 01:51,100 BLK E COLLEGE ST,Closed - Suspect Arrested
CRM-2025-259,Rape,03/16/2025 00:00,03/22/2025 17:00,East Side Residential Hall,Closed - Referred to Title IX Coordinator
CRM-2025-246,Theft,03/15/2025 16:47,03/15/2025 16:47,204 Hawkeye Court,Active - UI Police
CSA-2025-176,Liquor Law Violations x2,03/14/2025 18:50,03/14/2025 20:10,Catlett Residence Hall,Closed - Referred to Office of Student Accountability
CRM-2025-245,Motor Vehicle Theft,Between 03/14/2025 16:00 and 03/15/2025 09:45,03/15/2025 09:46,204 Hawkeye Court,Inactive
CRM-2025-244,Theft,Between 03/14/2025 13:30 and 03/14/2025 14:20,03/14/2025 14:31,"Gilmore Hall, exterior",Inactive
CRM-2025-242,Simple Assault,03/14/2025 12:00,03/14/2025 12:19,General Hospital,Inactive
CSA-2025-184,Harassment,03/14/2025 08:00,03/14/2025 08:00,General Hospital,Referred to University - Other
CSA-2025-185,Harassment,03/14/2025 08:00,03/14/2025 08:00,General Hospital,Referred to University - Other
CSA-2025-186,Harassment,03/14/2025 08:00,03/14/2025 08:00,Dental Science Building,Referred to University - Other
